ingredient,bridging_score
raw_fish,0.0031610324240730478
artemisia,0.0031531006028697782
lamb_liver,0.003094168419441544
uncured_pork,0.0030634263873938125
naranjilla,0.002968800091422481
cauliflower,0.002942282622103747
oat,0.0029162529528328316
sassafras,0.0028653488201628775
raw_leek,0.0028635214968787638
raw_fatty_fish,0.0028378141655526963
fatty_fish,0.0028378141655526963
rutabaga,0.0028068688565841765
kaffir_lime,0.00280044420163415
wood_apple,0.0027685737622619396
mustard,0.0027320465956065343
lime,0.0027286974749684283
truffle,0.0027189279741066186
peanut_oil,0.0027037664774069276
black_bean,0.002702074048311948
sweet_grass_oil,0.0026791809529576067
raw_radish,0.002647497178336274
dried_kidney_bean,0.0026428187360830677
pinto_bean,0.002632196552031414
bean,0.002632196552031414
leaf,0.0025864936487042097
guarana,0.0025436650250449853
dill_blossom,0.0025227975726718967
pike,0.0023444065458543624
sea_bass,0.0023444065458543624
java_citronella_oil,0.002328644207333362
clove_oil,0.002328644207333362
cinnamon_leaf,0.002312402078216133
chestnut_flower,0.002236878015762354
black_currant_bud,0.0021569384167020003
raw_turkey,0.0021536342311186908
cured_ham,0.002125082926555817
cayenne_linaloe,0.0021210778014319103
grapefruit_peel_oil,0.002069217523666808
kohlrabi,0.001979448654917617
fennel,0.001963234669028029
tarragon,0.001961722342791741
bog_blueberry,0.0019413250443590018
pinaceae,0.0018831601067302833
wild_raspberry,0.0018776339102655408
fenugreek,0.001853127285843723
laurel_leaf,0.0018363286293966716
sesame_seed,0.001805160663577516
lilac,0.0018008384943921198
whale,0.0017923981837183814
chokeberry,0.0017812789510837435
cowberry,0.0017338061361459047
coal_tar,0.001733748508149528
water_apple,0.0017014948565484077
crowberry,0.0016917360124225603
myrtleberry,0.001682243506876769
black_raspberry,0.001682243506876769
orange_oil,0.001665891002234717
basil,0.0015237724637791371
beef_liver,0.0015024766233475003
litsea_cubeba,0.001459729102648609
jasminum_grandiflorum,0.0014034225381735041
finnish_pine_oil,0.0013986407919765365
grape_must,0.001394736404710896
lemon_flower,0.0013873179452442445
ceylon_citronella,0.0013329567597291148
walnut,0.0013227750901537354
pimento,0.001283162234037708
pinus_sabiniana,0.0010736170774188851
ginger,0.0010607034604697514
daffodil,0.0010537435517904326
tolu_balsam,0.0010073696159520246
pea,0.001005004792250567
lime_juice,0.001000519534792432
broccoli,0.0009670346379634257
parsnip,0.0009595475909150807
filipendula_ulmaria_flower,0.0009472644426014239
kola_nut,0.0009142843149002924
ginger_grass,0.0008920956722110097
cajeput,0.0008753324335229604
rutaceae,0.0008743591221378169
vervain,0.0008593326713947059
custard_apple,0.0008568706231398707
coconut_oil,0.0008451728179846655
auto_oxidized_salmon_oil,0.0008444981048624697
azalea,0.0008428844819608467
daffodil_flower,0.000806985565553469
cinnamon,0.0008066775301775721
lobster,0.0007817037452130997
plum_wine,0.0007747789687424431
rum,0.0007704896717060082
pennyroyal,0.0007666246976567821
vegetable,0.0006923411918172478
japanese_whiskey,0.0006704973267901279
robinia_pseudoacacia,0.0006639246377106502
banana,0.000662324862143384
coriander_oil,0.0006401996896768154
watercress,0.0006398696586514252
laurel,0.0006165150411486995
calytrix_tetragona,0.0006088998175672002
salmon_oil,0.0006006764419452414
turmeric,0.0006000794851394906
tsuga_canadensis,0.0005804607716033049
cymbopogon_javanensis,0.0005668121735495521
lily_oil,0.0005643026293308604
roasted_almond,0.0005578415414989015
tea_leaf_oil,0.000551054497037508
chive,0.000534706068601708
coffee,0.0005176034204877718
honey,0.0005172039297071229
cheese,0.0005092003911323583
hop,0.0005089937729245653
phebalium_dentatum_leaf,0.0005073220768455447
eucalyptus_citriodora_oil,0.0005042224050202047
jonquil,0.0004985137726752294
tangerine_peel_oil,0.00048733914889510956
nectandra_elaiophora,0.00048662564845234463
milk,0.0004792317653088684
lime_oil,0.0004788949789787756
chinese_quince,0.0004742684300687095
chicken_liver,0.0004738718056080458
juniperus_phoenicea_oil,0.00046405123346376876
polianthes_tuberosa_oil,0.0004579324205839353
camembert_cheese,0.0004498396104558315
violet_leaf,0.000443998113801938
american_cranberry,0.00044383914575600255
strawberry_wine,0.00043261356369274053
almond,0.00043192605768652045
rosemary,0.00041249539783963507
gardenia,0.0004105867142365796
rapeseed,0.0004037270019700302
orange_leaf,0.0003975697699735497
brazil_rosewood,0.00039742248378967393
monarda_punctata,0.0003946207365737239
vachellia_farnesiana,0.0003879134405143098
artemisia_cina,0.00038572087570361226
black_tea,0.00038321481558681325
cooked_apple,0.00038183931497011973
cupressaceae_oil,0.0003795231728759796
ethiopian_pepper,0.0003780467088904739
eucalyptus_amygdalina,0.00037602703322858245
curcuma,0.00036827557246322965
roasted_green_tea,0.00036799596802889313
dalbergia_sissoo,0.00036227058266418533
smoked_fish,0.00035801135217152413
raw_asparagus,0.00035496316688564086
star_anise_oil,0.0003505540985801577
tilsit_cheese,0.0003370075353499826
tahiti_vanilla,0.00033356009398592386
weinbrand,0.0003308706445159739
raw_peanut,0.0003277463445766955
rosa_bourboniana_oil,0.00032575021511084974
